title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Large-scale psychological differences within China explained by rice versus wheat agriculture,"T Talhelm, X Zhang, S Oishi, C Shimin, D Duan, X Lan…",2014,1897,"… and collectivism in 1000 subjects from rice- and wheat-growing regions in China. … regions have several markers of East Asian culture: more holistic thought, more interdependent self-…",VK0ahwW96bYJ,"T Talhelm, X Zhang, S Oishi, C Shimin, D Duan, X Lan… - Science, 2014 - science.org",[],https://www.science.org/doi/abs/10.1126/science.1246850,unknown,unknown
Emerging evidence of cultural differences linked to rice versus wheat agriculture,T Talhelm,2020,88,"… China, people from rice-farming areas think more holistically … This study is the first large-scale international study of cultural … collectivistic cultures are more harmonious. Participants in …",-YrpleAulBMJ,"T Talhelm - Current Opinion in Psychology, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2352250X1930082X,unknown,unknown
The rice theory of culture,T Talhelm,2022,51,… Rice-wheat differences in analytic versus holistic thought also … fosters less collectivism than paddy rice. Things may be similar in … Large-scale psychological differences within China …,8wqSi9AuPH4J,"T Talhelm - Online Readings in Psychology and Culture, 2022 - scholarworks.gvsu.edu",[],https://scholarworks.gvsu.edu/orpc/vol4/iss1/7/?trk=public_post_comment-text,unknown,unknown
People quasi-randomly assigned to farm rice are more collectivistic than people assigned to farm wheat,"T Talhelm, X Dong",2024,47,"… making large-scale irrigation uneconomical. The soil on the … Although China tends to be holistic overall, holistic thought is more common in rice-farming areas of China than wheat-…",Vzo2AIoVVn8J,"T Talhelm, X Dong - Nature communications, 2024 - nature.com",[],https://www.nature.com/articles/s41467-024-44770-w,unknown,unknown
Historically rice-farming societies have tighter social norms in China and worldwide,"T Talhelm, AS English",2020,282,"… nearby provinces that differ in rice and wheat, but share the same … Rice farming involves collectivism, but we predict that it does … National elections can be regarded as large-scale social …",TVT4tb-RtrMJ,"T Talhelm, AS English - Proceedings of the National Academy of Sciences, 2020 - pnas.org",[],https://www.pnas.org/doi/abs/10.1073/pnas.1909909117,unknown,unknown
How rice farming shaped culture in Southern China,"T Talhelm, S Oishi",2018,74,"… In China, we use wheat, corn, and soybeans statistics to represent dryland crops that are … In reality, collectivism in East Asian rice areas is more about reciprocal obligations and tight …",qjmArByquaYJ,"T Talhelm, S Oishi - Socioeconomic environment and human …, 2018 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=n2hNDwAAQBAJ&oi=fnd&pg=PA53&dq=Talhelm+rice+wheat+China+collectivism+holistic+thinking+large-scale&ots=imp5Fp_RXI&sig=pHo4ksmlRfIXYCWnrvQxM-OrryE,unknown,unknown
"High‐status people are more individualistic and analytic‐thinking in the west and wheat‐farming areas, but not rice‐farming areas","H Zhang, T Talhelm, Q Yang…",2021,26,"… If hotter areas are more collectivistic (or if rice–wheat differences are … holistic thought, China’s increasing number of STEM students could cause a large-scale decrease in holistic thought…",xMS2ts5V9KwJ,"H Zhang, T Talhelm, Q Yang… - European Journal of …, 2021 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/ejsp.2778,unknown,unknown
How rice fights pandemics: Nature–crop–human interactions shaped COVID-19 outcomes,"T Talhelm, CS Lee, AS English…",2023,35,"… in China, which found that self-report collectivism actually predicted less mask use across regions in … Large-scale psychological differences within China explained by rice versus wheat …",PZvKhHmBp-8J,"T Talhelm, CS Lee, AS English… - Personality and Social …, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/01461672221107209,unknown,unknown
Commentary:“Large-scale psychological differences within China explained by rice vs. wheat agriculture","S Hu, Z Yuan",2015,15,"… wheat, corn, and soybeans to compare with rice during the analysis, we compared each crop respectively against rice. … of Talhelm et al. ( 2014 ), but also the implications. With the “…",AYEh-LB7yRIJ,"S Hu, Z Yuan - Frontiers in psychology, 2015 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2015.00489/full,unknown,unknown
Does rice farming shape individualism and innovation? A response to Talhelm et al.(2014),"J Ruan, Z Xie, X Zhang",2014,1,… collected data on collectivism from other sources and linked them with rice areas but … rice-growing southern China exhibits lower individualism and more holistic thinking than the wheat-…,GjVRT34aKlQJ,"J Ruan, Z Xie, X Zhang - 2014 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2539567,unknown,unknown
