title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
俄罗斯帝国民族分离主义的起源,孙超,2016,0,"… ,最初被帝国引入界定西伯利亚游牧,半游牧居民.随着帝国的扩张,… 保有较高的自主权,总督和地方行政长官往往成为权力拥有者.②… 盖特曼汗国拥有 很大的自主权, 国家受到沙皇制 约;1669 年俄…",6Q_X3-XVo_UJ,"孙超 - 俄罗斯研究, 2016 - ru.ecnu.edu.cn",[],https://ru.ecnu.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=448,unknown,unknown
关系中的国家(第二卷): 地域—血缘关系中的帝制国家,徐勇,2020,2,"… 行政权力进行全 国性治理的力量,只能借助本家本族的力量进行共治.“当时的统治权一 般要取得贵族… 强大,没有为如航海(希腊),游牧或其它因素所削弱或冲击.虽然进 入阶级社会,经历了各种经济…",EDidm1_D2pAJ,徐勇 - 2020 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=QklPEAAAQBAJ&oi=fnd&pg=PA10&dq=%E6%B8%B8%E7%89%A7+%E6%B1%97%E6%9D%83+%E5%90%88%E6%B3%95%E6%80%A7+%E8%A1%80%E7%BC%98+%E5%86%9B%E4%BA%8B%E8%B4%B5%E6%97%8F+%E6%9D%83%E5%8A%9B%E6%9D%A5%E6%BA%90&ots=kty0H_jdF3&sig=5ERc79D8JGDokwjraet97BlUqNU,unknown,unknown
中国历史的多元复合结构,施展,2017,0,"… 大可汗事实上也没有强迫小可汗们无条件服从自己 的绝对能力,这是游牧帝国当中常见的军事贵族… ⑥在这种状态下,草原帝国内部每个小部落的首 领,其权力的终极正当性来源也都不是源自某个…",2geTJmDhKzQJ,"施展 - 探索与争鸣, 2017 - tsyzm.cn",[],https://www.tsyzm.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=2236,unknown,unknown
论蒙古游牧封建制的特点,杨强,2014,0,,TWNyCxtgc-kJ,"杨强 - 学术探索, 2014",[],,unknown,unknown
帝国的类型学分析: 基于边界的视角,孙兴杰,2015,1,,XPadJm-uRkYJ,"孙兴杰 - 史学集刊, 2015",[],,unknown,unknown
国家起源新探,杜永豪,2013,0,,9Hn4jtorDuMJ,"杜永豪 - 洛阳师范学院学报, 2013",[],,unknown,unknown
礼萨· 汗时期(1921-1941 年) 伊朗民族国家构建的路径选择与困境,詹晋洁,2015,1,,T2-WfCip7uUJ,"詹晋洁 - 世界民族, 2015",[],,unknown,unknown
"游牧, 农耕两大生态区整合背景中的清代多民族治理",邹怡,2016,0,,Pf1JY-KIHroJ,"邹怡 - 复旦学报(社会科学版), 2016",[],,unknown,unknown
从传统帝国到民族国家——近代中国国家转型的战争逻辑,李月军,2012,1,,1FnMNlFZlYAJ,"李月军 - 甘肃行政学院学报, 2012",[],,unknown,unknown
从有限王权到无限王权: 中国诞生的政治学进程,谌中和,2012,1,,TtDfE20ehB4J,"谌中和 - 学术月刊, 2012",[],,unknown,unknown
