title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A Confucian constitutional order: How China's ancient past can shape its political future,Q Jiang,2012,284,"… the idea that Confucianism can positively shape political institutions, legislation, and … For Wang, political legitimacy is not something to be defined by moral philosophers in total …",Uc3Yq5Zp-H0J,Q Jiang - 2012 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=t_fUn4ol3ucC&oi=fnd&pg=PP1&dq=Confucian+ethics+imperial+China+political+legitimacy+institutions&ots=8tbx96-CtB&sig=NACAnQ60_or_b97HIVHazWo6vzQ,unknown,unknown
Imperial politics and Confucian societies in late imperial China: The Hanlin and Donglin academies,BA Elman,1989,106,… process of developing a broad range of new institutional mechanisms by which to govern … China. Deftly appropriating the civilian values of Confucianism to legitimate the institution of …,v27FFodngGMJ,"BA Elman - Modern China, 1989 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/009770048901500401,unknown,unknown
Intimate authority: the rule of ritual in classical Confucian political discourse,T Jiang,2006,18,"… political legitimacy clearly taps into the popular sentiment of the centrality of family/kinship in ancient China… worth of persons, but on the functioning of sound institutions”(Graham, p. 268)…",vXgyM1RPInsJ,"T Jiang - Confucian Cultures of Authority, 2006 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=5E9ftcqFEIsC&oi=fnd&pg=PA21&dq=Confucian+ethics+imperial+China+political+legitimacy+institutions&ots=HmAYOZg7NE&sig=V8d9hcYVbQFDwQtNRcB09HL68FU,unknown,unknown
On Confucian political philosophy and its theory of justice,GUO Qiyong,2013,17,"… political thought, theory, system and practice in ancient China… Confucianism excels at guiding the codes, institutions, and … the very foundation of its political legitimacy when it took over …",Hplag5EtcUAJ,"GUO Qiyong - Frontiers of Philosophy in China, 2013 - brill.com",[],https://brill.com/view/journals/fphc/8/1/article-p53_5.xml,unknown,unknown
A comparison of the legitimacy of power between Confucianist and legalist philosophies,L Ma,2000,34,"… philosophies of classical China: Confucianism and Legalism. We … schools’ of philosophy of classical China. These two … In ancient China there was no explicit and formal constitution, but …",HcAFuAwwsR0J,"L Ma - Asian Philosophy, 2000 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09552360050001761,unknown,unknown
"The rise of Confucian ritualism in late imperial China: Ethics, classics, and lineage discourse",K Chow,1996,377,"… Ch'ing literati were urged to immerse themselves in the difficult language of the Classics and to conduct research on ancient rituals and institutions, with the ultimate goal of …",NSAXZdKPqg8J,K Chow - 1996 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=R4zSykUeUTcC&oi=fnd&pg=PP9&dq=Confucian+ethics+imperial+China+political+legitimacy+institutions&ots=SmXqRIkfHi&sig=ZM4bgEEC7bdlvnNABHvGkSKzmm4,unknown,unknown
Confucian political ethics,DA Bell,2010,188,"… also be room for morally legitimate differences with liberal philosophy. The … ary institutions than there were in imperial China. To fulfill the purposes of self- cultivation, these institutions …",VyXsuI74NjAJ,DA Bell - 2010 - torrossa.com,[],https://www.torrossa.com/gs/resourceProxy?an=5641659&publisher=FZO137,unknown,unknown
“Legitimate authority” in the Chinese tradition: ethics-politics,L Du,2022,5,"… Weber captured the core of political legitimacy in ancient China, namely that the legitimacy of a … “Virtue” nevertheless has been infused into China’s political daily routines ever since the …",A3zXzkKR-0AJ,"L Du - International Confucian Studies, 2022 - degruyterbrill.com",[],https://www.degruyterbrill.com/document/doi/10.1515/icos-2022-2010/html,unknown,unknown
"Legitimacy, the Chinese Communist Party and Confucius",WK Ng,2023,3,"… of political legitimacy, and the relevance of Confucianism as … state after the demise of institutional Confucianism. I will also … construction of legitimation stories in post-imperial China. In …",xDNaM7cU3ZEJ,"WK Ng - 2023 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-981-99-7089-6.pdf,unknown,unknown
Sources of regime legitimacy in Confucian societies,YH Chu,2016,21,"… The so-called revolutionary legacy anchored on nation-building or anti-imperialist … organizations evaluate the legitimacy of any given regime, in the final analysis political legitimacy …",ATwtpMO8yc8J,"YH Chu - Journal of Chinese Governance, 2016 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/23812346.2016.1172402,unknown,unknown
