title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Growing collectivism: Irrigation, group conformity and technological divergence",JC Buggle,2020,134,"… , I find evidence for a culturally-embodied effect of irrigation … for cooperation in irrigation agriculture led to collectivist norms … of ethnic groups from Standard Cross-Cultural Sample, Fig. 2 …",23Yo39VUlpEJ,"JC Buggle - Journal of Economic Growth, 2020 - Springer",[],https://link.springer.com/article/10.1007/s10887-020-09178-3,unknown,unknown
Agricultural legacy and individualistic culture,JB Ang,2019,101,… This paper presents evidence on the relationship between … I also construct a measure of ancestral irrigation in column (4)… using data from the Standard Cross-Cultural Sample (SCCS). …,xhb3j3BlLOwJ,"JB Ang - Journal of Economic Growth, 2019 - Springer",[],https://link.springer.com/article/10.1007/s10887-019-09171-5,unknown,unknown
Emerging evidence of cultural differences linked to rice versus wheat agriculture,T Talhelm,2020,88,"… of Ningxia province farms rice using irrigation water from the … Traditional rice farming involved cooperation, but not warmth … challenge the intuition that collectivistic cultures are more …",-YrpleAulBMJ,"T Talhelm - Current Opinion in Psychology, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2352250X1930082X,unknown,unknown
The rice theory of culture,T Talhelm,2022,51,… Paddy rice also depended on irrigation systems to flood and … recent evidence of cultural differences between rice and wheat … fosters less collectivism than paddy rice. Things may be …,8wqSi9AuPH4J,"T Talhelm - Online Readings in Psychology and Culture, 2022 - scholarworks.gvsu.edu",[],https://scholarworks.gvsu.edu/orpc/vol4/iss1/7/?trk=public_post_comment-text,unknown,unknown
How rice fights pandemics: Nature–crop–human interactions shaped COVID-19 outcomes,"T Talhelm, CS Lee, AS English…",2023,35,"… We find evidence that culture matters. Societies with a history … how rice villages managed irrigation networks. For example, … The 39-nation study demonstrated cross-cultural equivalence …",PZvKhHmBp-8J,"T Talhelm, CS Lee, AS English… - Personality and Social …, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/01461672221107209,unknown,unknown
People quasi-randomly assigned to farm rice are more collectivistic than people assigned to farm wheat,"T Talhelm, X Dong",2024,47,… irrigation networks of paddy rice farming makes cultures more … evidence yet that rice farming is a cause of collectivism— and … What’s wrong with cross-cultural comparisons of subjective …,Vzo2AIoVVn8J,"T Talhelm, X Dong - Nature communications, 2024 - nature.com",[],https://www.nature.com/articles/s41467-024-44770-w,unknown,unknown
How rice farming shaped culture in Southern China,"T Talhelm, S Oishi",2018,74,"… We focus on rice that humans actively irrigated, but not … Describing rice cultures as collectivistic and cooperative easily … In India, we have found preliminary evidence that people from …",qjmArByquaYJ,"T Talhelm, S Oishi - Socioeconomic environment and human …, 2018 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=n2hNDwAAQBAJ&oi=fnd&pg=PA53&dq=paddy+rice+irrigation+cooperation+collectivism+cross-cultural+evidence&ots=imp5Fp_RWP&sig=au9pQPV8ckNkai-fYP0UetKPXm4,unknown,unknown
National Rice Culture Theory and Economic Growth in Asia,CS Lee,2026,0,"… empirical evidence for linkages between rice cultivation, … to the collectivistic culture prevalent in rice cultivation areas. … labor demands of rice cultivation and irrigation. We further …",IhkXxKvh5cwJ,"CS Lee - Sociology of Development, 2026 - online.ucpress.edu",[],https://online.ucpress.edu/socdev/article-abstract/12/1/101/215016,unknown,unknown
Farming cultivates a community-level shared culture through collective activities: Examining contextual effects with multilevel analyses.,"Y Uchida, K Takemura, S Fukushima…",2019,99,"… irrigation systems), which requires large scale cooperation within … of cross-cultural psychological studies that shows sizable … think that this result provides sufficient evidence to hint at …",8-CC13fObloJ,"Y Uchida, K Takemura, S Fukushima… - Journal of personality …, 2019 - psycnet.apa.org",[],https://psycnet.apa.org/journals/psp/116/1/1/,unknown,unknown
The Long‐Run Impact of Agricultural Risk on Cultural Divergence,"L Wang, W Hu, J Ruan",2026,0,"… be incomplete because, in addition to irrigation in rice farming, … ceptualisation of collectivism in the cross- cultural literature. … In this regard, we provide evidence that historical agricultural …",42aORP_mA_8J,"L Wang, W Hu, J Ruan - Review of Development Economics, 2026 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/rode.70140,unknown,unknown
