title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Origins of human cooperation and morality,"M Tomasello, A Vaish",2013,1272,"… and are, we argue, the seeds of the full-fledged norm-based sense of fairness … evolutionary origins of human morality and cooperation are thus undoubtedly to be found in our primate …",jCtS2TgLGFAJ,"M Tomasello, A Vaish - Annual review of psychology, 2013 - annualreviews.org",[],https://www.annualreviews.org/content/journals/10.1146/annurev-psych-113011-143812,unknown,unknown
Primates and philosophers: How morality evolved,FHG de Waal,2006,2312,"… Seeking the origin of human morality not in evolution but in human culture, science insists … primates—cooperation, reconciliation, a sense of fairness, and even the rudiments of morality. …",MyOT6gEz2AgJ,FHG de Waal - 2006 - degruyterbrill.com,[],https://www.degruyterbrill.com/document/doi/10.1515/9781400830336/html,unknown,unknown
"The origins of morality: Social equality, fairness, and justice",M Killen,2018,55,"… understand the role of morality in human evolution. The reliance … evolutionary heritage. The argument about humans as“ultra-… 6–7), one that is cooperative (reflected in great apes) and …",JDkpJzM7a00J,"M Killen - Philosophical Psychology, 2018 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09515089.2018.1486612,unknown,unknown
Morally evolved,F De Waal,2006,183,"… has been raging regarding the origin of morality, a hallmark of … Before we speak of “fairness” in this context it is good to point … as a logical outgrowth of cooperative tendencies, we are not …",PLOksfhaonoJ,"F De Waal - Primates and philosophers: How morality evolved, 2006 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=PccMuO2pcOcC&oi=fnd&pg=PA1&dq=evolution+morality+cooperation+fairness+primates+origins&ots=6iyowD-inT&sig=xFuc9ZuVXL3OV-JQItKS5HpAaeQ,unknown,unknown
The origins of morality,"M Tomasello, Y SHIMIZU",2018,29,"… by comparing the behaviors of our close primate relatives … fairness (inherited from early humans), which became moral … adaptations for cooperation and morality are geared mainly …",YAcAa983EnMJ,"M Tomasello, Y SHIMIZU - Scientific American, 2018 - JSTOR",[],https://www.jstor.org/stable/27173622,unknown,unknown
The origins of morality: An evolutionary account,D Krebs,2011,226,"… moral sense possessed by early humans and other primates … virtue and you believe that fairness trumps altruism, how can … For example, if morality evolved to uphold cooperative social …",bbxDJiFvtPYJ,D Krebs - 2011 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=wpeKkhk-Ge0C&oi=fnd&pg=PP1&dq=evolution+morality+cooperation+fairness+primates+origins&ots=ZJ-YKu0kaC&sig=7WTqMRJUNTHVRyoiDZ9u81NBJyg,unknown,unknown
Justice-and fairness-related behaviors in nonhuman primates,SF Brosnan,2013,186,"… This pinpoints when in the taxon’s phylogenetic history the trait evolved. Convergences … In a study more explicitly exploring inequity and cooperation, monkeys were tested in a similar …",LlKY0TaRWMoJ,"SF Brosnan - Proceedings of the National Academy of Sciences, 2013 - pnas.org",[],https://www.pnas.org/doi/abs/10.1073/pnas.1301194110,unknown,unknown
THE EXECUTION HYPOTHESIS FOR THE EVOLUTION OF A MORALITY OF FAIRNESS.,R Wrangham,2021,10,… understanding moral origins is the question of how pre-moral … on understanding how an originally primate-style dominance … cooperation for warfare underlies the evolution of morality is …,GDriOf8QM_4J,"R Wrangham - Ethics & Politics/Etica e Politica, 2021 - air.unimi.it",[],https://air.unimi.it/retrieve/handle/2434/1157817/2809817/E&P2021_2+(1)(1)(1).pdf#page=12,unknown,unknown
Evolutionary origins of morality: Insights from non-human primates,"JM Burkart, RK Brügger, CP Van Schaik",2018,71,"… origins of moral behavior and its underlying moral preferences and intuitions from an evolutionary … of cooperative breeding, could evolve into an ever more interdependent social niche. …",RrcsdPwmJrMJ,"JM Burkart, RK Brügger, CP Van Schaik - Frontiers in Sociology, 2018 - frontiersin.org",[],https://www.frontiersin.org/journals/sociology/articles/10.3389/fsoc.2018.00017/full,unknown,unknown
Morality and the social instincts: Continuity with the other primates,FBM De Waal,2005,46,"… All species that rely on cooperation—from elephants to … our monkeys showed, though; hence their sense of fairness, if … of our history as groupliving animals, hence an extension of our …",DkiVWooN3kkJ,"FBM De Waal - Tanner lectures on human values, 2005 - academia.edu",[],https://www.academia.edu/download/35826206/deWaal_2005.pdf,unknown,unknown
