title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"The interplay of technology, family, and identity: Chinese adolescents' self-presentation on Douyin",Q Zhang,2025.0,16,"… particularly evident in adolescent social media use. The key … Douyin, as China’s leading short-video platform, serves as a … use TikTok to create a “homespace” for self-expression and …",d6M12WVB6bUJ,"Q Zhang - Frontiers in psychology, 2025 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1544224/full,unknown,unknown
THE IMPACT OF SOCIAL MEDIA ON THE VALUES OF CONTEMPORARY CHINESE ADOLESCENTS: A CASE STUDY OF THE ROLE OF PLATFORM …,"W LI, TV SALADOUNIKAVA",2026.0,0,… of the short video platform Douyin (the Chinese version of TikTok ) on the for mation of young people’s cultural identity and values. It … with new ways of self-expression and promotes the …,csyYFbu98w4J,"W LI, TV SALADOUNIKAVA - ЖУРНАЛИСТИКА, 2026 - elib.bsu.by",[],https://elib.bsu.by/bitstream/123456789/350007/1/Journal%20of%20the%20Belarusian%20State%20University_Journalism_1_2026.pdf#page=67,unknown,unknown
Talking to strangers: Chinese youth and social media,T Wang,2013.0,73,"… in China in three ways: from self-restraint to self-expression, … created video exchanges between US and Chinese students … a new set of values around self-expression, transparency, and …",3_jMDEFawoMJ,T Wang - 2013 - search.proquest.com,[],https://search.proquest.com/openview/01bcc3ede2bdcd4e61d866508bd7e032/1?pq-origsite=gscholar&cbl=18750,unknown,unknown
How does short video use generate political identity? Intermediate mechanisms with evidence from China's small-town youth,"J Qin, Q Du, Y Deng, B Zhang, X Sun",2023.0,12,"… 2019), and the empowerment of selfexpression contributes to … chaos and value risks in the short video platform, with the … of the media influence of the Internet or social media. At the …",cWJQ_VtChWUJ,"J Qin, Q Du, Y Deng, B Zhang, X Sun - Frontiers in Psychology, 2023 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1107273/full,unknown,unknown
Instrumental rationality and identity confirmation: the dual drivers of small-town youth's prosumption of earthy short videos,"G Pianpian, B Omar",2026.0,0,… short videos while forging avenues for self-expression and … of this study are small-town youth in China. This group is … theory in the study of digital media. Whilst consumer behaviour may …,1Awz6Pst9XgJ,"G Pianpian, B Omar - Humanities and Social Sciences …, 2026 - nature.com",[],https://www.nature.com/articles/s41599-026-08224-6,unknown,unknown
"WeChat online visual language among Chinese Gen Z: virtual gift, aesthetic identity, and affection language",R Liu,2023.0,14,"… contributes to digital anthography and social media studies, … in self-expression and seeking equal social relations. In the … allows users to record short videos or manually upload photos …",O0QrH-Twqq0J,"R Liu - Frontiers in Communication, 2023 - frontiersin.org",[],https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2023.1172115/full,unknown,unknown
Self-perception evolution among university student TikTok users: Evidence from China,"J Zhu, Y Ma, G Xia, SM Salle, H Huang…",2024.0,24,"… The outcomes of this study show how short video apps, … social media users gain from the development of professional … others and engage in self-expression and symbolic interaction. In …",L0N0vZnpoewJ,"J Zhu, Y Ma, G Xia, SM Salle, H Huang… - Frontiers in …, 2024 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1217014/full,unknown,unknown
AI-powered media platform and social expression of Beijing high school students,Z Lin,2025.0,0,"… the content analysis of TikTok videos and interaction, this study … to self-expression and socialization, young people are more … social media ad platforms for young American and Chinese …",KOgsXwGAcY0J,"Z Lin - Connecting Ideas, Cultures, and Communities, 2025 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003591511-17&type=chapterpdf,unknown,unknown
Beyond Entertainment: How Value Perceptions Influence Production and Consumption of Earthy Short Videos Among Chinese Small-Town Youth,"G Pianpian, B Omar",2025.0,0,"… interaction, escapism, self-compensation, self-expression, and social identity as the motives … television, e-reading, and social networking sites that connect to subcultural experiences. …",AveuGRji98MJ,"G Pianpian, B Omar - 2025 - researchsquare.com",[],https://www.researchsquare.com/article/rs-6853397/latest,unknown,unknown
Socio-cultural identity of Chinese youth in a digital society,L Yuhang,,0,"… , the number of online video users (including short videos) in China reached 1.031 billion. … demonstrates how digital media has become a new stage for youth self-expression but also …",Z5bhMIJHyJ8J,"L Yuhang - … доктор социологических наук, профессор АВ Петров … - asterion.ru",[],https://asterion.ru/db/temp/Cifrovoe_Obshchestvo_v_Rossii_i_Kitae_2025.pdf#page=457,unknown,unknown
