title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Historical patterns of rice farming explain modern-day language use in China and Japan more than modernization and urbanization,"SC Guntuku, T Talhelm, G Sherman, A Fan…",2024,14,… “I” and “we” continued to fail convergent validity checks after … the rice-wheat differences for China as a whole replicated … To test whether rice-wheat differences were a confound of …,GkeBm0c_524J,"SC Guntuku, T Talhelm, G Sherman, A Fan… - Humanities and Social …, 2024 - nature.com",[],https://www.nature.com/articles/s41599-024-04053-7,unknown,unknown
Does rice farming shape individualism and innovation?,"J Ruan, Z Xie, X Zhang",2015,45,… rice areas but failed to find any relationship as predicted by the … and GDP) in the three tables successfully replicate the … it does not control for other confounding factors. Table 4 presents …,ZRn0OzGm8ScJ,"J Ruan, Z Xie, X Zhang - Food Policy, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306919215000986,unknown,unknown
Artifacts and paradoxes in new media,RE Rice,1999,132,"… By 'confounding', I mean it as used in traditional research … sequential nature of the book was replicated by the card (in a … , or is the source of problems. For example, when considering …",_ELRHyJReQAJ,"RE Rice - New Media & Society, 1999 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/1461444899001001005,unknown,unknown
The Origins of Psychological Variation in Japan: Testing the rice theory of culture,"L McClain, AR Kenny",2025,2,… brief review of relevant literature on the rice theory of culture (… with substantial collective action and coordination problems … Testing the rice theory in Japan controls for two confounds …,4qN7hrZSOBsJ,"L McClain, AR Kenny - Current Research in Ecological and Social …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2666622725000334,unknown,unknown
People quasi-randomly assigned to farm rice are more collectivistic than people assigned to farm wheat,"T Talhelm, X Dong",2024,47,"… These results rule out confounds in tests of the rice theory, … problems of using self-report surveys to measure cultural … , adaptation, distribution and reproduction in any medium or format, …",Vzo2AIoVVn8J,"T Talhelm, X Dong - Nature communications, 2024 - nature.com",[],https://www.nature.com/articles/s41467-024-44770-w,unknown,unknown
People in rice-farming cultures perceive emotions more accurately,"T Talhelm, SJ Wu, C Lyu, H Zhou, X Zhang",2023,20,"… However, one weakness of Study 1 is that there may still be other confounds between rice … Similar to Study 1, we limited the main analysis to participants with a consistent rice-wheat …",4NBUfO_hlwgJ,"T Talhelm, SJ Wu, C Lyu, H Zhou, X Zhang - Current Research in Ecological …, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2666622723000357,unknown,unknown
"Reconsidering research on divorce, family life cycle, and the meaning of family",JK Rice,1994,90,"… and education are inextricably confounded with outcome, … for categorical analysis of function, also fail when we consider … an analysis goes beyond a social reproduction analysis of …",0LQDmHVWzssJ,"JK Rice - Psychology of Women Quarterly, 1994 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1471-6402.1994.tb01048.x,unknown,unknown
The rice theory of culture,T Talhelm,2022,51,"… word use on in China, the differences replicated in comparisons of prefectures in Japan, where … That avoids problems with confounds of north and south. For example, rice-farming areas …",8wqSi9AuPH4J,"T Talhelm - Online Readings in Psychology and Culture, 2022 - scholarworks.gvsu.edu",[],https://scholarworks.gvsu.edu/orpc/vol4/iss1/7/?trk=public_post_comment-text,unknown,unknown
Replication and reproducibility in cross-cultural psychology,"TL Milfont, RA Klein",2018,91,"… Nonetheless, a string of failures to replicate in good-faith replication efforts warrants serious … We argue that replication and meta-analysis go hand-in-hand—particularly in the current …",cWJooKmhwFoJ,"TL Milfont, RA Klein - Journal of Cross-Cultural Psychology, 2018 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0022022117744892,unknown,unknown
Addressing methodological challenges in culture-comparative research,"R Fischer, YH Poortinga",2018,145,"… and response styles are two examples of confounds that are likely to be … analysis of voxels (small brain loci) and the large data sets in fMRI recordings. In the wake of replication failures, …",do1Skc7kbmQJ,"R Fischer, YH Poortinga - Journal of Cross-Cultural …, 2018 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0022022117738086,unknown,unknown
